judul,perusahaan,deskripsi,label
customer care officer,pt panin sekuritas tbk,sempat berkarir usaha efek muka milik lisensi broker jamin emisi catat bursa efek indonesia sedang cari kandidat baik isi posisi  customer care officer tanggung jawab kerja  tangan tanya informasi produk keluh nasabah masuk  baik lalu telepon telegram e-mail tangan outbound calls nasabah aktif survey langgan update rekomendasi saham melaui telepon follow up nasabah beri update rekomendasi saham dasar teknikal ulas ulas jadi rekomendasi nasabah konsultasi saham laku tugas administrasi lain syarat minimum lulus sarjana s1 jurus business management economics lulus lain tara alam minimal 2 tahun posisi sama paham produk sekuritas atau produk uang lain alam customer service care bank sekuritas lebih utama tampil rapi memahani konsep service excellent know your customer milik mampu baca chart saham paham informasi gera harga saham milik mau motivasi kuat kerja milik pribadi baik operasi ms office lokasi tempat  kantor pusat,asli
e-commerce marketing specialist,oma elly kitchen,about the role as an e-commerce marketing specialist at oma elly you will be responsible for driving the companys online marketing efforts and optimising the digital customer experience you will play a crucial role in expanding the brands reach and increasing sales through innovative digital strategies we need someone whos eloquent and sociable person up-to-date with the latest e-commerce trends a deep understanding of e-commerce metrics able to creatively formulate a working action plan involving e-commerce promotions and campaigns what youll be doing develop and execute compelling digital marketing campaigns across various channels analyse website data and customer behaviour to identify opportunities for improvement and optimise the e-commerce customer journey collaborate with the creative and content teams to produce engaging on-brand digital assets monitor and report on the performance of marketing campaigns making data-driven recommendations to enhance their effectiveness stay up-to-date with industry trends and best practices in e-commerce marketing to ensure the companys digital presence remains competitive support the planning and implementation of new e-commerce initiatives and features p s fresh graduates are more than welcome,asli
staff purchasing,pt asia pramulia surabaya,proses poi lampir poi minta tawar supplier kirim tawar user cek laku ecek harga beli akhir negosiasi harga minta acc tawar user kabag managemen buat po laku bayar beli terms t t in advance buat faktur uang muka koordinasi bagi finance jadwal bayar laku buka lc beli terms lc buat form aplikasi lc surat kuasa blokir kirim bukti bayar supplier memfollow up progress buat jadwal kirim barang atur kirim by sea  by air laku ecek dokumen invoice packing list bl form e insurance coa draft manifest dll laku ecek bayar pib buat faktur pib  laku clearance  keluar barang bea cukai isi form rencana datang barang spesifikasi didik minimal s1 semua jurus alam bidang purchasing procurement minimal 2 tahun industri manufaktur milik mampu bahasa asing pasif english mandarin milik mampu negosiasi analisa baik,asli
warehouse head,p t banteng pratama rubber,awas seluruh giat operasional gudang mulai terima simpan hingga keluar barang pasti patuh sop laku koordinasi antar tim departemen perlu lancar proses pantau timeline trucking ecek timeline kirim terima barang pantau jadwal trucking tanggung jawab validasi input data sistem wh jaga akurat data inventaris pasti semua transaksi catat benar pasti seluruh giat jalan sesuai standar operasional prosedur sop laku laku evaluasi rutin tingkat efisiensi operasional susun lapor operasional kala cakup status stok progres kirim kendala hadap lapor sampai manajemen bahan evaluasi ambil putus kualifikasi didik d3 s1 bidang logistik supply chain jurus jenis alam 3 tahun kepala gudang utama alam guna wms sistem manajemen inventaris lain alam pimpin tim operasional gudang mampu komunikasi efektif baik internal maupun eksternal teliti periksa dokumen data disiplin jalan prosedur operasional tetap,asli
corporate ga security senior supervisor,pt bridgestone tire indonesia,key responsibilities general affair security policy developed implement update and manage all general affair and security policy to ensure both activities in each location are aligned with the procedure general affair contracts manage all ga contracts with third party including the strategy renewal and collaboration with related departments seek possibility to improve services and cost of contract services in ga corporate ga manage and optimize ga budget utilization in all locations through collaboration with hrga managers and implementation of cost efficiency strategy manage kpi achievement in each location and provide necessary support manage all corporate-wide ga activities and collaborate with each location for the implementation e g uniform procurement transportation etc observe ga activity and propose improvement on ga operational to achieve high efficiency process and services excellence organize all corporate-wide event such as sports tournament halal bi halal etc ensure company permitting and licenses is update and recorded corporate security conduct regular security assessment in both plan and surrounding area to identify potential risk and vulnerability develop and maintain relationship with local law enforcement and other related stakeholder such as community and other security professional lead investigation of security incident including work with law enforcement institution when necessary collaborate with other function within bsin to ensure all security measures are integrated into all aspect in operation stay up-to-date with industry trends and best practices in security management ensuring customer and stakeholder satisfaction and engagement providing briefings and reports to security staff and management maintaining operational excellence and service delivery developing strategies to prevent mitigate and respond to threats and risks e g bomb threat demonstrate theft etc managing security risk assessments and supervising incident investigations leading and monitoring the security teams performance coordinating with law enforcement government agencies vendors and other stakeholders participating in special projects related to security business continuity planning assess all ga security related risks and potential threats to the company and create business continuity planning bcp system implement bcp strategy when there are threats to the company such as natural disasters etc develop capability of ga team member to lift up skill and knowledge for sustainability of the operation,asli
admin after sales,pt win access telecommunication,kualifikasi  didik d3 s1 mahir guna microsoft excel mampu kelola data filling data rapih milik interpersonal skill baik gabung cepat mampu kerja bawah tekan tempat head office vivo area c pantai indah kapuk jakarta utara tanggung jawab manajemen feedback koordinasi masalah seluruh service center koordinasi laku kontrol arus uang tagih service center laku kontrol evaluasi kualitas layan bersih nyaman seluruh service center laku kerja lain kait maintainance kualitas service center sesuai arah atas,asli
mixing operator,pt rich products indonesia,rich products corporation usaha multi-nasional mnc lebih 11 000 rekan seluruh dunia rupa pasok muka pasar jasa makan toko roti ritel industri khusus diri buat agam produk lezat muas selera langgan lebih 100 negara enam benua buka peluang tarik kandidat kreatif bakat dinamis semangat isi posisi operator mixing departemen produksi  peluang besar cocok kandidat energik cita tinggi jadi bagi organisasi global jadi tantang tarik ajar kembang buka peluang cepat karir sendiri syarat kerja alam min 2 tahun operator mixing pabrik makan farmasi didik smk teknik mesin mekatronika instalasi tenaga listrik derajat fresh graduate boleh kandidat min didik d3 teknik mesin teknik mekatronika teknik industri teknik pangan derajat alam ikut gmp haccp tpm alam teknisi mesin produksi pabrik makan jadi nilai tambah inisiatif disiplin good attitude mampu komunikasi baik milik logika baik orientasi target sedia kerja shift sedia tempat plant cikande tanggung jawab kerja liput batas  laksana semua tugas proses mixing material tugas variasi jenis produk tugas beda laku mixing formulasi tugas ikut atur usaha pantau operasi mesin periksa parameter masuk proses mixing akurat patuh atur aman pangan bersih tata mesin alat area mixing tunjuk ikut implementasi tpm masuk sampai proses nilai kompetensi orientasi target dapat diri kerja budaya kerja ramah keluarga sahabat mana hasil positif aku harga kandidat hasil hubung rich products indonesia ucap terima kasih semua calon lamar luang waktu lamar peran sebut,asli
purchasing officer,pt ancara logistics indonesia tbk,responsibilities  send price request for goods services to vendors and compare prices in accordance to company standard create purchase orders based on the approved bid tabulation results and ensure the selected vendors receive and process the purchase order documents ensure the goods services purchased in accordance with the purchase order documents make request for funds to the finance department for vendors who use cash payment schemes responsible for administrative activities and document storage in the purchasing section requirements  min bachelors degree in any major fresh graduate or have min 1-3 years experience in the same field excellent in ms office understand statistics have strong negotiation skills with supplier location based in samarinda,asli
production manager,chocolate monggo, usaha cokelat sedang kembang inovatif bas yogyakarta indonesia komitmen produksi produk cokelat premium biji kakao lokal proses mulai biji kakao baik hasil batang cokelat luar biasa praline artisanal sedang cari orang manager produksi pimpin tim produksi awas proses buat cokelat pasti standar kualitas efisiensi penuh deskripsi kerja chocolate monggo usaha gerak bidang produksi cokelat premium cari orang manager operasional produksi kompeten pimpin kelola operasional pabrik kami posisi tanggung jawab pasti proses produksi jalan efisien aman sesuai standar kualitas usaha tanggung jawab utama 1 kelola operasional kelola seluruh proses produksi pasti target produksi capai sesuai jadwal pasti seluruh mesin alat produksi operasi optimal awas sedia bahan baku kelola stok produksi 2 awas tim pimpin awas beri arah tim produksi kembang terampil kapasitas tim lalu aju latih evaluasi kala 3 tingkat proses identifikasi peluang tingkat efisiensi kualitas produk implementasi sistem kerja lebih efektif tingkat produktivitas 4 patuh standar pasti semua aktivitas produksi patuh sop ik standar aman pangan haccp iso dll kelola dokumentasi kait proses produksi sesuai regulasi laku 5 kolaborasi koordinasi divisi lain masuk rd quality control teknisi logistik dukung lanjut produksi koordinasi department sales kualifikasi didik minimal s1 bidang teknik industri teknologi pangan jurus kait milik alam kerja minimal 5 tahun 2 tahun akhir posisi manajerial manufaktur makan paham baik proses manufaktur makan khusus cokelat jadi nilai tambah milik mampu pimpin tim visioner milik mampu manajerial milik mampu komunikasi efektif milik mampu analisa tajam problem solving milik mampu laku improvement familiar standar aman pangan sistem manajemen mutu,asli
warehouse head,daya group,job descriptions to analyze and solve daily problem in the warehouse area to supervise all team member comply to sop and safety protocol manage receiving and delivering process effectively maintain database to keep updated make daily report  stock level delivery schedules defect stock finance expenditure develop team member through couching counseling to meet the competencies required conducting improvement activities to make all daily operation process efficient and effective qualifications bachelor degree from supply chain management or logistic management have 4 years working experience as warehouse supervisor have strong knowledge in logistic management and supply chain management good in analytical thinking excellent in maintaining coordination across functions strong in leadership willing to located in bandung or bandung barat,asli
staff administrasi,cv berkat saintifindo,kualifikasi butuh  didik min d3 semua jurus utama teknik kimia alam min 1 tahun bidang administrasi admin gudang admin sales erti bahasa inggris baik aktif pasif milik mampu analisa baik milik inisiatif tinggi milik mampu komunikasi baik baik lisan maupun tulis aplikasi komputer ms office word excel power point dll kerja mandiri team sedia kerja full time tidak sedang kuliah kerja target sedia tempat medan jakarta,asli
breakdown maintenance technician,pt hli green power,requirement maximum vocational high school smk in major mechanical manufacture electrical electronics automation instrument mechatronic have an experience of working at least 2 years in technician or mechanical able to communicate in english or korean language will be an advantage have an experience of working with siemens mitsubishi plc program modification able to perform electrical maintenance and repairs able to use electrical measurement tools having knowledge about rotational machine roll to roll machinery having knowledge about piping able to use workshop tools grinding welding drill etc willing to work on 3 shift have a willingness to learn about new production technology willing to work in karawang job description  filling checklist for machine condition preventive maintenance and predictive maintenance machine troubleshooting making report of daily shift activity handle spare part room during shift 2 and shift 3 handle workshop for operator if needed working time work on 3 shift employment status contract employee benefits nett salary private insurance meal allowance transportation allowance coverage bpjs and tax deduction,asli
production logistic operator,pt glovis indonesia international,tanggung jawab - laku packing barang - antar barang gudang line produksi - pasti kualitas barang kirim line produksi - laku validasi part sesuai list - susun laku tata sesuai prosedur simpan sesuai standar laku gudang - mampu investigasi barang hilang kurang rusak - perhati 5s area - jalan safety baik - laku kaizen syarat - minimum didik sma derajat - komunikasi baik - jujur teliti disiplin orientasi target - kerja bawah tekan - sedia kerja shifting kerja daerah cikarang,asli
admin purchasing fb,cv miyou yogurt indonesia,deskripsi kerja tanggung jawab atas sedia stok barang kelola dokumen administratif kelola mesan kirim barang awal hingga akhir buat rekap stok jalan pasti barang terima kirim kendala kualifikasi mampu kelola sedia efisien masuk rencana ada pantau stok pasti sedia barang sesuai minta milik mampu administratif kuat masuk kelola dokumen pantau pesan komunikasi pasok efektif mampu komunikasi bagai pihak masuk pasok anggota tim internal departemen kait lain pasti lancar proses beli milik paham baik anggar biaya operasional mampu kelola beli sesuai batas anggar tetap milik terampil guna perangkat lunak platform teknologi guna manajemen beli ada perangkat lunak erp enterprise resource planning sistem manajemen sedia mampu kerja teliti milik teliti tinggi laku tugas administratif kerja mandiri maupun tim utama alam belum posisi administratif beli ada industri fb wfo kalideres jakarta barat,asli
admin purchasing fb,cv miyou yogurt indonesia,deskripsi kerja tanggung jawab atas sedia stok barang kelola dokumen administratif kelola mesan kirim barang awal hingga akhir buat rekap stok jalan pasti barang terima kirim kendala kualifikasi mampu kelola sedia efisien masuk rencana ada pantau stok pasti sedia barang sesuai minta milik mampu administratif kuat masuk kelola dokumen pantau pesan komunikasi pasok efektif mampu komunikasi bagai pihak masuk pasok anggota tim internal departemen kait lain pasti lancar proses beli milik paham baik anggar biaya operasional mampu kelola beli sesuai batas anggar tetap milik terampil guna perangkat lunak platform teknologi guna manajemen beli ada perangkat lunak erp enterprise resource planning sistem manajemen sedia mampu kerja teliti milik teliti tinggi laku tugas administratif kerja mandiri maupun tim utama alam belum posisi administratif beli ada industri fb wfo kalideres jakarta barat,asli
corporate ga security senior supervisor,pt bridgestone tire indonesia,key responsibilities general affair security policy developed implement update and manage all general affair and security policy to ensure both activities in each location are aligned with the procedure general affair contracts manage all ga contracts with third party including the strategy renewal and collaboration with related departments seek possibility to improve services and cost of contract services in ga corporate ga manage and optimize ga budget utilization in all locations through collaboration with hrga managers and implementation of cost efficiency strategy manage kpi achievement in each location and provide necessary support manage all corporate-wide ga activities and collaborate with each location for the implementation e g uniform procurement transportation etc observe ga activity and propose improvement on ga operational to achieve high efficiency process and services excellence organize all corporate-wide event such as sports tournament halal bi halal etc ensure company permitting and licenses is update and recorded corporate security conduct regular security assessment in both plan and surrounding area to identify potential risk and vulnerability develop and maintain relationship with local law enforcement and other related stakeholder such as community and other security professional lead investigation of security incident including work with law enforcement institution when necessary collaborate with other function within bsin to ensure all security measures are integrated into all aspect in operation stay up-to-date with industry trends and best practices in security management ensuring customer and stakeholder satisfaction and engagement providing briefings and reports to security staff and management maintaining operational excellence and service delivery developing strategies to prevent mitigate and respond to threats and risks e g bomb threat demonstrate theft etc managing security risk assessments and supervising incident investigations leading and monitoring the security teams performance coordinating with law enforcement government agencies vendors and other stakeholders participating in special projects related to security business continuity planning assess all ga security related risks and potential threats to the company and create business continuity planning bcp system implement bcp strategy when there are threats to the company such as natural disasters etc develop capability of ga team member to lift up skill and knowledge for sustainability of the operation,asli
e-commerce staff,pt miniso lifestyle trading indonesia miniso indonesia,responsibilities responsible for overall online store sales in various e-commerce marketplaces such as tokopedia shopee lazada tiktok etc upload and manage product catalogs on the marketplace achieve the targets of each online store create promotions to increase sales conversions and sales figures handle customer complaints with return refund and product exchange policies requirements at least a bachelors degree at any field from reputable university with max age of 30 years old minimum 1 year of experience as a relevant positions understanding of e-commerce platforms and related technical knowledge proficient in operating office software such as excel word and ppt clear logical thinking sensitivity to numbers and data have good communication skills and cross departmental collaboration skills strong ability to work hard,asli
junior staff data analyst,pt niterra mobility indonesia,job qualification minimal diploma degree from any major minimal 1 years of experience as data analyst demonstrate advance ms office capability especially ms excel power point good analytical capability high attention to detail and concern on data accuracy self starter good interpersonal and communication skill job description manage customers claim complaint database collect customer survey data and do analysis perform analysis on current sales and project and provide initiation and idea to management input sales database and sales project actualization support offline activities if needed,asli
staff administrasi data analisis,pt victor indonesia,kualifikasi  usia max 35 tahun didik minimal s1  d3 administrasi accounting bidang kait alam minimal 4 tahun bidang kait bahasa english mandarin lebih utama mahir operasi microsoft office utama excel word dll aplikasi accurate erti mahir guna excel vlookup pivot table pribadi jujur disiplin tanggung jawab motivasi tinggi kerja individu team cepat ajar kerja bawah tekan deadline tempat daerah jakarta utara,asli
administration,pt kb valbury sekuritas,kb valbury sekuritas  a leading financial services firm under kb financial group specializes in brokerage investment banking and capital market advisory with a commitment to growth the company is expanding its operations and enhancing its services to better serve clients across indonesia as part of this growth kb valbury sekuritas is actively seeking talented individuals to join its dynamic teams and contribute to its mission we have several exciting positions available across various functions admin sales in house responsibilities administration process of head office division responsible to input new clients data verification process of new clients data compile every documents related with clients data information and transaction properly qualifications required poses bachelor degree from related business have working experience as an administrator minimum 1 year have an excellent communication and interpersonal skills able to work neatly and well organized especially related with the team data management,asli
admin assistant,zwsoft co ltd,admin hr event duties coordinate with china hq it finance hr marketing keep records handle reports expenses assist manager on adhoc tasks compile performance data help sales with orders certs screen candidates arrange interviews solve staff issues organize trips training meetings onboard new hires introduce regulations manage equipment stock marketing communications oversee company exhibitions and offline events liaise with external suppliers printing contractors gifts qualifications 1 1 - 3 years of work experience or a fresh graduate with a bachelors degree 2 ability to make cold calls 3 proficient in english mandarin and indonesian both spoken and written 4 experience in a diverse international environment is a plus 5 proficient in ms office applications 6 strong communication and presentation skills both on the phone and in person english version resume is required on the application,asli
junior staff data analyst,pt niterra mobility indonesia,job qualification minimal diploma degree from any major minimal 1 years of experience as data analyst demonstrate advance ms office capability especially ms excel power point good analytical capability high attention to detail and concern on data accuracy self starter good interpersonal and communication skill job description manage customers claim complaint database collect customer survey data and do analysis perform analysis on current sales and project and provide initiation and idea to management input sales database and sales project actualization support offline activities if needed,asli
warehouse head,daya group,job descriptions to analyze and solve daily problem in the warehouse area to supervise all team member comply to sop and safety protocol manage receiving and delivering process effectively maintain database to keep updated make daily report  stock level delivery schedules defect stock finance expenditure develop team member through couching counseling to meet the competencies required conducting improvement activities to make all daily operation process efficient and effective qualifications bachelor degree from supply chain management or logistic management have 4 years working experience as warehouse supervisor have strong knowledge in logistic management and supply chain management good in analytical thinking excellent in maintaining coordination across functions strong in leadership willing to located in bandung or bandung barat,asli
relatioship manager bank bumn,pt prima karya sarana sejahtera,didik minimal s1 semua jurus fresh graduate milik alam bidang marketing perban minimal 2 tahun lebih utama milik mampu komunikasi baik baik verbal tulis maupun nonverbal milik terampil analitis mampu negosiasi kuat milik tahu layan langgan crm customer relationship management utama milik sertifikasi analis kredit manajemen risik,asli
modern trade marketing administration,breylee lanbena,job description assist in the execution of trade marketing campaigns and promotional activities for modern trade channels maintain and update trade marketing databases reports and documentation coordinate with internal teams sales marketing finance supply chain to ensure smooth execution of trade programs collect and compile sales performance data from modern trade accounts prepare and analyze reports on promotions sales trends and competitor activities monitor and track the effectiveness of trade marketing initiatives ensure the availability and distribution of posm banners shelf talkers wobblers etc to modern trade stores maintain stock records for promotional materials and ensure timely replenishment coordinate with vendors or suppliers for posm production and delivery assist in tracking promotional budgets and expenses ensure all promotional claims and invoices are processed accurately and on time support in documentation and administrative tasks related to trade promotions act as a liaison between trade marketing sales and modern trade partners support in scheduling and coordinating meetings presentations and trade marketing events ensure alignment of trade marketing activities with sales and marketing strategies willingness to travel occasionally for store visits or trade events if required job requirements diploma or bachelors degree in business administration marketing or a related field 1-2 years of experience in administrative roles preferably in trade marketing modern trade or retail industry experience in fmcg skincare or beauty industries is a plus ability to manage multiple administrative tasks efficiently proficient in microsoft excel powerpoint and data analysis tools strong interpersonal skills for liaising with internal and external stakeholders ability to handle administrative challenges and find solutions proactively ability to work under deadlines and prioritize tasks effectively proficiency in mandarin is a plus,asli
purchasing officer,pt ancara logistics indonesia tbk,responsibilities  send price request for goods services to vendors and compare prices in accordance to company standard create purchase orders based on the approved bid tabulation results and ensure the selected vendors receive and process the purchase order documents ensure the goods services purchased in accordance with the purchase order documents make request for funds to the finance department for vendors who use cash payment schemes responsible for administrative activities and document storage in the purchasing section requirements  min bachelors degree in any major fresh graduate or have min 1-3 years experience in the same field excellent in ms office understand statistics have strong negotiation skills with supplier location based in samarinda,asli
staff administrasi data analisis,pt victor indonesia,kualifikasi  usia max 35 tahun didik minimal s1  d3 administrasi accounting bidang kait alam minimal 4 tahun bidang kait bahasa english mandarin lebih utama mahir operasi microsoft office utama excel word dll aplikasi accurate erti mahir guna excel vlookup pivot table pribadi jujur disiplin tanggung jawab motivasi tinggi kerja individu team cepat ajar kerja bawah tekan deadline tempat daerah jakarta utara,asli
administration,pt kb valbury sekuritas,kb valbury sekuritas  a leading financial services firm under kb financial group specializes in brokerage investment banking and capital market advisory with a commitment to growth the company is expanding its operations and enhancing its services to better serve clients across indonesia as part of this growth kb valbury sekuritas is actively seeking talented individuals to join its dynamic teams and contribute to its mission we have several exciting positions available across various functions admin sales in house responsibilities administration process of head office division responsible to input new clients data verification process of new clients data compile every documents related with clients data information and transaction properly qualifications required poses bachelor degree from related business have working experience as an administrator minimum 1 year have an excellent communication and interpersonal skills able to work neatly and well organized especially related with the team data management,asli
