judul,perusahaan,deskripsi,label
pt bank mandiri persero tbk,product owner,job description in bank mandiri we are committed to driving innovation and delivering exceptional products that exceed customer expectations we are seeking a passionate and experienced product owner to join our dynamic team and help shape the future of our offerings as a product owner you will be the key liaison between the development team and stakeholders ensuring that our products meet the needs of our customers you will be responsible for defining and prioritizing product features managing the product backlog and ensuring the successful delivery of high-quality products if you like to become a creator and a product designer with the goal of achieving customer satisfaction build great customer experiences while balancing business goals risk management compliance technical constraints and time to market launch products and passionately engage with customer feedback then you are the one were looking for key responsibilities collaborate with stakeholders to understand business needs and translate them into clear product requirements define and prioritize the product backlog ensuring alignment with business goals and customer needs work closely with the development team to ensure timely and high-quality delivery of product features communicate the product vision and roadmap to both internal and external stakeholders monitor and evaluate product performance making data-driven decisions to enhance the product lead sprint planning review and retrospective meetings act as the primary point of contact for all product-related inquiries and issues continuously gather feedback from users and stakeholders to improve the product requirements minimum 4 years of experience preferably in related roles product owner product manager product designer business analyst bachelors degree from a reputable university experience with mobile applications or digital products is preferred strong communication skills to work effectively with stakeholders from diverse backgrounds strong understanding of agile methodologies particularly scrum proven ability to define and prioritize product features based on business and customer needs excellent communication and interpersonal skills strong analytical and problem-solving abilities ability to work collaboratively in a fast-paced environment experience with product management tools such as jira confluence or similar is a plus,asli
pt santos jaya abadi kapal api global,finance accounting staff,responsibilities pasti piutang jatuh tempo tagih periksa sesuai tagih budget lengkap dokumen penuh periksa sesuai klaim compensation benefit dokumentasi rekap biaya operasional requirements milik gelar sarjana s1 bidang akuntansi min 1 tahun alam finance accounting kuasa aplikasi ms excel mampu bahasa inggris minimal pasif,asli
kalbe nutritionals pt sanghiang perkasa,commercial finance internship,responsibilities support on going project in commercial finance division supporting commercial finance division based on users needs analyze marketing promotion transactions support payment process for vendor invoices payment process to branches payment process to vendors and internal marketing requirements final year accounting or economy students with a strong academic background able to do internship for 2 months willing to be placed in east jakarta excellent to use microsoft office excel detail-oriented with good organizational skills good in communication willing to learn something new to support the commercial finance team,asli
kalbe nutritionals pt sanghiang perkasa,area sales supervisor,responsibilities responsibilities increase the number of products visibility in area of responsibility to reach the highest and best sales target build the best relationship with multi distributor related with kalbe nutritionals divisions business requirements requirements willing to be relocated in all branch all indonesia bachelor degree from any major have minimal 2 years experience in handling manage and have good relationship with distributor to reach the sales target and product penetration excellent in communication and can build good relationship with people in new environment excellent in managing execution and strong in problem solving excellent integrity strict honest high motivation to learn something new can be trusted and humble,asli
pt lion super indo,junior payroll benefits specialist,job summary this position supports the accurate and timely execution of payroll and employee benefit processes the role is responsible for gathering payroll data validating employee information supporting benefits administration and ensuring processes comply with internal policies and government regulations this position ensures a smooth and efficient hr operation while delivering a positive employee experience requirements bachelor degree in science mathematics accounting finance engineering informatics or related field fresh graduate are welcome proficient in written english strong attention to detail confidentiality and willingness to take initiative strong logical thinking ability to deduce process and identify irregularities good command in communication this is a temporary position for 1 year,asli
kalbe nutritionals pt sanghiang perkasa,internal audit staff,responsibilities handling end to end audit process and controlling financial preparing financial statements audit reports present audit results to the auditee responsible for audit results requirements bachelor degree from finance accounting or management with minimum gpa 3 00 having minimum 1-2 years experience in handling audit having knowledge and experience in manufacturing audit risk based audit and business rocess capable to use microsoft office excel words ppt and computer literate good in communication having skeptical thinking and assertive,asli
kalbe nutritionals pt sanghiang perkasa,digital learning internship,responsibilities development of training syllabus development of training modules implementation of training programs implementation of training evaluation inputting data into the system film script creation requirements university students from educational technology preferably on 5th semester able to do internship for 3 months able to use adobe premier willing to be placed in pulo gadung - kbic east jakarta good in communication willing to learn something new and high drive for result,asli
kalbe nutritionals pt sanghiang perkasa,quality assurance internship gvn,responsibilities regular laku kece datang rmpm sama wh pasti rmpm terima sesuai spesifikasi tetap project laku analisa validasi metode ukur ketidakpastian ukur project alat lab requirements mahasiswa aktif s1 jurus teknologi pangan biokimia teknik kimia kimia sedia magang lama 6 bulan sedia tematkan pt gvn - cikampek,asli
pt sarimelati kencana tbk,internal audit officer,job description  conduct audits to assess internal controls risk management and compliance with regulations perform audit testing analyze data and document audit results prepare detailed audit reports with findings conclusions and recommendations folow up on the implementation of audit recommendations ensure compliance with internal policies procedures and external regulations participate in special audits investigations and other projects as needed actions from the auditee both hard copy and soft copy scan requirements  bachelors degree in accounting finance business administration or a related field 1-3 years of experience in internal auditing external auditing or related fields strong analytical and problem-solving skills excellent attention to detail and acuracy high ethical standards and integrity willing to travel to multiple locations,asli
kalbe nutritionals pt sanghiang perkasa,project maintenance internship,responsibilities kerja project digitalization tools workshop buat akses pintu masuk finger data teknisi masuk ruang tools buat citra foto deteksi tools mana ambil teknisi buat rak mekanik lemari tools requirements mahasiswa aktif s1 jurus teknik elektronika sedia magang lama 6 bulan sedia tempat cikampek,asli
pt bank sinarmas tbk,frontliner,kualifikasi didik min d3 segala jurus alam  fresh graduate milik alam perban 1-2 th utama milik terampil komunikasi baik mampu kerja individu maupun team orientasi layan customer baik milik motivasi tinggi mandiri mampu jalin relasi cepat proses seleksi pt bank sinarmas tbk mungut biaya apa,asli
kalbe nutritionals pt sanghiang perkasa,medical representative contract based - pt kalbe blackmores nutrition,responsibilities bina tahan hubung baik relasi obgyn bidan lalu kunjung sesuai call plan capai target jual tetap cipta demand produk khusus channel klinik rumah sakit presentasi promosi produk program dokter bidan requirements sarjana lulus farmasi tani biologi science sehat gizi utama milik alam medical representative medical delegate medical account executive min 3 tahun industri farmasi milik mampu komunikasi interpersonal baik milik mampu relasi luas dokter bidan paham medical channel sedia contract based 1 tahun milik alam handle area sedia tempat bandung bekas cirebon denpasar jakarta malang surabaya semarang milik motor sim c aktif,asli
pt lion super indo,buyer,job description 1 follow up e-mail store supplier warehouse other division etc 2 meeting with supplier preparing data meeting follow up 3 managing mailer promotion 4 managing display rent 5 managing new product 6 managing other promotions exc hemat negotiation confirmation implementation 7 managing seasonal order stock 8 supporting new store re-launching 9 managing suppliers of his her sub department based on win-win solution business partner and business for long term 10 maintain availability of dc warehouse  store stock requirements 1 bachelor degree s1 from any major preferably from fresh graduate 2 good negotiation communication skill 3 intermediate skill in microsoft office especially excel 4 good communication in english 5 can do attitude 6 working system wfo,asli
pt sigma cipta caraka telkomsigma,backend developer internship,responsibility create crud endpoints for employee profile data implement data validation for employee profiles integrate with the existing authentication system create endpoints for employee employment information implement an approval workflow for data changes develop a notification system for hr integrate the api with mobile and web applications write unit tests for each endpoint document the api using tools like swagger design and implement a new database schema job qualification currently studying at a university or polytechnic preferably in computer science information systems information technology software engineering or related diploma degree experienced in python programming at least intermediate level django django rest framework managing database management using oracle db git version control api documentation implementing restful api design principles implementing authentication authorization familiar with database migration and orm full-time interns for at least 6 months,asli
pt duta visual nusantara tivi tujuh trans7,secretary,trans7 has become the television of choice for indonesian viewers with smart entertaining family positioning that are well liked and opened for viewers who are more familiar with indonesia and the world also with popular programs that are inspiring informative and entertaining trans7 is expected to be able to build more engagement with viewers as indonesian television friends dont miss your chance to be a part of lifeattrans7 should you think you have what were looking for by have these following criteria qualifications diploma or bachelor degree from any major preferably from administration or secretariat major hands-on experience with microsoft office applications having ability to work in fast-paced environment assertive energic having experience as a secretary min 1 year having good interpersonal and communication skills,asli
kalbe nutritionals pt sanghiang perkasa,finance accounting supervisor,responsibilities buat rencana strategi jangka pendek 1 tahun finance acct department selaras sasar jangka panjang departement finance accounting serta anggar awas bawah laksana operational hari sesuai rencana jangka pendek atur cash flow usaha dukung giat operasional buat lapor uang analisa lapor uang bulan manajemen kirim corporate accounting monitor transaksi operasional day to day catat akuntansi sesuai psak pasti compliance proses bayar terima sesuai atur laku pasti sedia budget me-review monitor proses catat actual biaya status realisasi periodik requirements s1 akuntansi  uang milik alam minimal 3 tahun posisi spv finance and accounting milik alam paja lebih suka mahir guna oracle maupun ms office betanggung jawab teliti detail sedia tempat pt kalbe morinaga indonesia  cikampek jawa barat,asli
pt indofood cbp sukses makmur tbk - noodle division,recruitment staff,syarat kerja milik gelar sarjana bidang psikologi sumber daya manusia administrasi bisnis bidang kait milik alam minimal 1 tahun recruitment officer hr paham praktik teknik cari baik rekrutmen punya komunikasi interpersonal sangat baik mampu laku wawancara efektif nilai kualifikasi lamar atentif detail teliti deskripsi kerja identifikasi tarik calon kandidat potensial lalu bagai sumber nilai kualifikasi calon kandidat laku wawancara koordinasi proses wawancara pasti lamar dapat alam rekrutmen positif informatif kelola catat data akurat sistem kerja sama tentu butuh staf kontribusi diskusi rencana tenaga kerja man power planning,asli
indonesia banking school,admin -astra daihatsu,deskripsi kerja laku aktivitas administrasi kait unit service cabang astra daihatsu kelola bayar transaksi uang catat beri layan jalin hubung baik langgan astra daihatsu syarat kerja min d3 jurus administrasi pajak uang milik skill komunikasi interpersonal baik milik motivasi kerja tinggi tempat cabang astra daihatsu,asli
pt santos jaya abadi kapal api global,data analyst,responsibilities kontrol olah data kait data sales olah seluruh data analisa pasar harga produk rangka tunjang lancar giat operasional departemen marketing requirements minimal didik s1 matematika komputer statistika manajemen sistem informasi milik alam min 3th kerja data analyst milik mampu analisa data mahir guna power bi mahir guna microsoft office excel word power point jujur teliti tanggung jawab sedia tempat kantor sja jakarta,asli
doku pt nusa satu inti artha,driver,job purpose tanggung jawab laksana tugas operational pengantar-jemput mobilitas manager direksi karyawan jalan tugas atau antar jemput barang operational usaha aman tepat waktu job description laku antar-jemput manager direksi karyawan laku jalan dinas sesuai instruksi aman nyaman tepat waktu rawat kendara kantor bersih kendara kantor hari pasti fungsionalitas aman kendara operasi ecek kondisi kendara baik kondisi fisik maupun kondisi mesin rusa ganggu kendara tangan rusa kendara baik baik sendiri maupun bengkel tunjuk usaha kendara lapor departemen gs laksana bantu kerja unit karyawan sifat dinas hub kerja bukan tugas rutin misal bantu kirim bongkar muat barang laksana damping teknisi vendor proses kerja laku dua sesuai standard maintenance doku yang harap jaga bersih kerapihan fungsionalitas area ruang kantor alat kerja tata ruang tata letak seluruh barang kantor untuk pasti fungsionalitas standard kualitas jaga nyala mati rawat guna sesuai butuh seluruh alat mesin electronic kanto pasti fungsionalitas cost efisiensi hindar mungkin rusa beri asistensi laksana kerja unit karyawan sifat dinas hub kerja bukan tugas rutin misal bantu fotokopi dokumen packing barang tugas rapi lingk,asli
pt bank sinarmas tbk,banking services officer,alam  minimal 1 tahun customer service sales officer teller fresh graduate boleh kualifikasi didik perlu minimal s1 sarjana perban lebih utama tahu industri perlu ekonomi dasar tahu teknis perlu 1 operasi komputer dasar 2 operasional perban s-one temenos 3 kenal produk perban 4 akuntansi perban 5 service quality jenis latih kursus sertifikasi perlu 1 service quality 2 beauty class 3 training dasar pribadi 4 customer care 5 terap apu ppt kyc,asli
mr diy indonesia,freelance admin,responsibilities assist in daily administrative tasks including data entry filing and document preparation support internal communication and coordination between departments maintain and update company databases and documentation provide general support to the administrative and operations team requirements active student or fresh graduate diploma bachelors degree in any major preferably in administration management or related fields detail-oriented organized and reliable proficient in microsoft office word excel powerpoint strong communication skills and a proactive attitude,asli
pt duta visual nusantara tivi tujuh trans7,accounting,trans7 has become the television of choice for indonesian viewers with smart entertaining family positioning that are well liked and opened for viewers who are more familiar with indonesia and the world also with popular programs that are inspiring informative and entertaining trans7 is expected to be able to build more engagement with viewers as indonesian television friends dont miss your chance to be a part of lifeattrans7 should you think you have what were looking for by have these following criteria qualifications bachelor degree from accounting have brevet tax certification is an advantage having good interpersonal and communication skills assertive energetic and having ability to work in fast-paced environment,asli
kalbe consumer health,branch accounting,join us to be the brightest star we do innovative work that brings a better life we believe what we do every day is always embedded with innovation at kalbe consumer health you will build your career and find your purpose at the same time keep innovating to provide best-in-class products for many families we are looking for those who can bring happiness through quality health products and continuous innovation for a better life position brand executive about the role  we are looking for a passionate and creative branch accounting to responsible for managing representative office finances in compliance with sops archiving documents and optimizing the cost closing process what you will do ensuring that the management of representative office funds is in accordance with the applicable sops perform document archive representative office optimizing the process of closing representative office costs what you will need bachelors degree in accounting able to processing data in ms excel attention to details thorough and neat have good communication with various parties willing to be placed in head office pulomas east jakarta benefit self development opportunity training career path about the team kalbe consumer health is defined by panca sradha which embraces trust mindfulness innovation striving to be the best and interconnectedness our people who we call saka stars are results-oriented and customer-centered we work in teams and quickly respond to market and consumer needs together we build a better life about company kalbe consumer health division offers over-the-counter drugs with therapeutic benefits we produce consumer products with health benefits including supplements and other preventive products kalbe consumer healths over-the-counter portfolio categories cover more than six therapeutic classes with solid brands commanding a dominant market share over recent decades innovation is the key to kalbe consumer health and we adhere to our commitment to nourish the nation which we always take care of jointly we always provide health solutions ranging from digestive and skin categories multivitamins respiratory care food supplements and healthy foods we provide innovative and trustworthy products and services as a solution for daily health management kalbe consumer health is globally present around consumers we are present in nine countries with more than sixteen otc brands we ensure that all products are developed responsibly to make the lives of many people healthier globally we believe that in the journey of kalbe consumer health to provide health product solutions that can nourish the nations recruitment steps share your best profile meet our hr team discuss with your future team on-boarding - keep in touch with us by visit our social media instagram https bit ly instagramkalbeconsumerhealth linkedin https bit ly linkedinkalbeconsumerhealth website www kalbeconsumerhealth com,asli
pt sumberdaya dian mandiri,cordinator driver,jamin sedia driver pasti driver terima unit sesuai sistem tangan mogok kerja sebab bijak laku klien atas melaporakan indisden celaka lapor polisi s d selesai masalah pasti kemudi paham bijak usaha laku bina driver tangan konflik kemudi pihak eksternal damping lapor driver sakit celaka tinggal dunia tampung dengar keluh masuk driver,asli
kalbe consumer health,product development staff,join us to be the brightest star we do innovative work that brings a better life we believe what we do every day is always embedded with innovation at kalbe consumer health you will build your career and find your purpose at the same time keep innovating to provide best-in-class products for many families we are looking for those who can bring happiness through quality health products and continuous innovation for a better life position  product development staff about the role  we are currently seeking a product development staff to responsible for conducting formula research perform product trials from lab to commercial scale conducting development tests and documenting all processes accurately what you will do conduct literature review on formula development perform trials from lab scale to pilot and commercial scale conduct tests related to product development document trial results and formula development properly what you will need education minimum bachelors degree in food technology have relevant experience minimum a year in the field of similar industry production basic knowledge of formulation and library search for formulation independent fast learner and easy to adapt willing to be placed in giic deltamas cikarang west java benefit  self development opportunity training career path about the team kalbe consumer health is defined by panca sradha which embraces trust mindfulness innovation striving to be the best and interconnectedness our people whom we call saka stars are results-oriented and customer-centered we work in teams and quickly respond to market and consumer needs together we build a better life about company kalbe consumer health division offers over-the-counter drugs with therapeutic benefits we produce consumer products with health benefits including supplements and other preventive products kalbe consumer healths over-the-counter portfolio categories cover more than six therapeutic classes with solid brands commanding a dominant market share over recent decades innovation is the key to kalbe consumer health and we adhere to our commitment to nourish the nation which we always take care of jointly we always provide health solutions ranging from digestive and skin categories multivitamins respiratory care food supplements and healthy foods we provide innovative and trustworthy products and services as a solution for daily health management kalbe consumer health is globally present around consumers we are present in nine countries with more than sixteen otc brands we ensure that all products are developed responsibly to make the lives of many people healthier globally we believe that in the journey of kalbe consumer health to provide health product solutions that can nourish the nations recruitment steps share your best profile meet our talent acquisition team discuss with your future team on-boarding keep in touch with us by visit our social media instagram https bit ly instagramkalbeconsumerhealth linkedin https bit ly linkedinkalbeconsumerhealth website www kalbeconsumerhealth com,asli
pt bank sinarmas tbk,customer service sales officer,alam  fresh graduate boleh kualifikasi didik perlu minimal s1 sarjana perban lebih utama tahu industri perlu ekonomi dasar tahu teknis perlu 1 operasi komputer dasar 2 operasional perban 3 kenal produk perban 4 akuntansi perban 5 service quality jenis latih kursus sertifikasi perlu 1 service quality 2 beauty class 3 training dasar pribadi 4 customer care 5 terap apu ppt kyc,asli
pt bank central asia tbk bca,wealth management program,consider yourself as an investment enthusiast keep reading this program is exclusively designed for you who have a passion for the world of investing this program is suitable for curious individuals who are determined to explore the wealth management investment and marketing area while also discovering a potential career path in bca equipped with 1-year intensive training you are expected to gain in-depth finance and marketing knowledge and be ready to be a wealth specialist of a wide array of banking solutions for customers in bca benefits receive intensive training for 1 year to develop candidates soft skills and technical skills about investment placement at the bca branch office as a permanent employee execute an important role in achieving bca branch targets equipped with opportunities for self-development by providing investment education to customers and fellow workers at bca branch offices this position is for you if you interested in investment or wealth management fluent in english both oral and written have excellent analytical thinking and problem-solving skills have great interpersonal and intrapersonal skills determined to keep learning and growing oriented to targets and goals not married and willing not to get married during the program willing to undergo official bond after education if the above vacancy catches your eye apply now,asli
pt lion super indo,stock controller,job summary stock controller is responsible to control all dc stock matters managing and evaluating the dc stock performance this position manages stock level at dc and doing forecast with several suppliers communicating with internal and external parties related to dc stock requirements bachelors degree from any major preferably math or statistics fresh graduate are welcome to apply proficiency in microsoft excell strong business sense and analytical thinking proactive with a high level of initiative detail orientation good communication skills,asli
shopee,data analyst business intelligence,job description assist the various business units as a discussion partner to plan strategise and grow shopees business by enabling data-driven decision-making serve as in-consultant who simplifies complex terminologies into more understandable insights to internal stakeholders collect clean and analyze large data sets to support business decisions develop and deploy dashboards to monitor key metrics conduct ad-hoc analysis to support decision-making and special projects requirements masters or bachelors degree in quantitative fields or a relevant field of study experience working with one or more language for querying e g sql familiarity working with bi tools e g tableau powerbi looker strongly preferred familiarity with advanced analytics languages like python or r will be an advantage experience working with multiple stakeholders across various divisions ability to converse in english and bahasa indonesia to communicate with internal stakeholders exceptional interpersonal skills self-starter with a can-do attitude,asli
pullman hotels resorts,receiving officer,company description at accor we believe that hospitality is a work of heart we understand the ways in which individual passion for our work and a shared sense of accomplishment create a more rewarding experience for our guests we foster this culture through a diverse and inclusive workplace that values the contribution of each and every member of our team we are committed to taking positive action in terms of business ethics and integrity responsible tourism sustainable development community outreach and diversity and inclusion with an expansive portfolio of iconic hotels and brands accor offers boundless opportunities for career advancement and professional development across the globe join a team where you can be all you are grow and create your path work with purpose and enjoy and feel valued this is an exciting entry-level role with growth opportunities for a motivated applicant make it your next move job description primary responsibilities receiving officer to ensure that all goods received in the hotel are properly supported by valid hotel purchase orders to examine both quality and quantity of goods received in coordination with related department heads before accepting delivery to ensure that goods are promptly moved to stores or the concerned department once received to ensure that outgoing goods are properly documented and accounted for to closely monitor with the purchasing officer all pending or partial deliveries to be responsible for recording and distributing reports as required other responsibilities be aware of the hotel fire life safety emergency procedures attend all briefings meetings and trainings as assigned by management maintain a high standard of personal appearance and hygiene at all times perform other reasonable duties assigned by the assigned by the management additional information experience is an asset strong interpersonal and problem solving abilities fluency in english additional languages are a plus,asli
pt suryaraya rubberindo industries,production operator,daftar lowong kualifikasi laki - laki usia min 18 tahun lampir surat nyata bebas narkoba lampir seleksi didik smk teknologi industri  sma ipa nilai rata matematika per semester min 7 untuk ta 2020 - dst nilai rata matematika uas uan min 4 5 untuk ta 2019 2018 dst tinggi badan min 163 cm sedang jalan kuliah kacamata  softlens milik lain mata minus plus butawarna lokasi tes  pt suryaraya rubberindo industries cileungsi - bogor rangkai proses seleksi administrasi sesuai kualifikasi seleksi test tulis seleksi test fisik interview  wawancara medical cek tr-00 training introduction tr-01 on the job training peta lokasi  klik sini ikut hal paham klik http fdrtire com career faq posisi lamar production operator kode posisi op - 25 personal info nomor ktp nama lengkap jenis kelamin pria wanita tempat lahir tanggal lahir agama - pilih agama - budha hindu islam katolik konghucu kristen no hp no telp email npwp alamat sesuai ktp alamat lengkap rt rw propinsi pilih propinsi - acehbalibantenbengkuludi yogyakartadki jakartagorontalojambijawa baratjawa tengahjawa timurkalimantan baratkalimantan selatankalimantan tengahkalimantan timurkalimantan utarakepulauan bangka belitungkepulauan riaulampungmalukumaluku utaranusa tenggara baratnusa tenggara timurpapuapapua baratriausulawesi baratsulawesi selatansulawesi tengahsulawesi tenggarasulawesi utarasumatera baratsumatera selatansumatera utara kabupaten  kota - pilih kabupaten - camat - pilih camat - desa  lurah - pilih lurah - kode pos didik akhir pilih jenjang didik - sma smk d3 s1 s2 s3 nama sekolah  instansi propinsi - pilih propinsi - kota - pilih kabupaten - jurus thn masuk thn lulus nilai gpa nilai mtk uan nilai mtk uas tinggi badan nilai matematika  sma smk  un uas tuju lamar sri mungut biaya apa lama proses rekrutmen informasi data lamar ikan lama proses rekrutmen sri benar sungguh temu ada informasi data valid sri henti proses rekrutmen lamar data pribadi lamar guna penting proses rekrutmen sri bagi informasi pribadi lamar individu organisasi izin lamar butuh hukum lamar tuju beri data sesuai minta sri lamar tuju data beri guna sri lama proses rekrutmen proses recruitment pt suryaraya rubberindo industries pungut biaya apa gratis follow instagram fdrcareer follow facebook fdrcareer follow twitter fdrcareer pasti seluruh informasi masuk benar men-submit lamar tuju bijak privasi tentu guna,asli
wings group indonesia sayap mas utama,sales supervisor fresh graduate,responsibilities lead the sales team to achieve sales target create a strategy to build up target teamwork and service build and maintain good relationship and communication with all customers requirements candidate must own at least a bachelors degree from any major with a minimum gpa of 3 00 on a scale of 4 00 experienced in leading teams willing to be placed in jabodetabek west java banten sumatera or west kalimantan,asli
kopi kenang,admin operations,we are looking for a detail-oriented and organized admin operations professional to join our team this role is key in supporting our store and branch operations through efficient document management administrative processes and coordination tasks ideal candidate profile 1 diploma bachelors degree 2 1-2 years of experience entry-level friendly 3 prior admin experience is a plus 4 has trong communication coordination 5 attention to detail 6 microsoft office proficiency 7 basic english language skills responsibilities 1 handle daily operational support for brands chigo and satu kenang 2 prepare and compile daily weekly and monthly sales reports 3 prepare and compile pl reports for operations 4 maintain and update operational data including area changes and new store openings 5 manage inventory processes including late-night inventory checks if needed 6 responsible for general affairs ga tasks such as ordering and sending uniforms 7 coordinate with stores on damages or repair needs initiate pr purchase requests in sap if needed 8 proficient in microsoft excel for data entry compilation and reporting tasks more about kenang brands kenang brands owns multiple brands kopi kenang a much-loved coffee chain store with close to 900 stores across indonesia kenang coffee malaysia launched in 2022 where we now have more than 85 stores across malaysia kenang coffee singapore launched in 2023 where we now have 7 stores and kopi kenang untuk our ready-to-drink fmcg subsidiary,asli
pt indosat tbk,officer-accounting,role purpose responsible for supporting the accurate administration and tracking of the organizations fixed assets including furniture equipment machinery and vehicles this role ensures proper documentation cataloging and reconciliation of fixed assets to maintain compliance with accounting standards tax regulations and internal controls job description asset acquisition and documentation  inputs new asset data and documentation into the asset management system accurately asset cataloging and tracking  physically tags and verifies assets updates location and identification information depreciation calculation and recording prepares basic data for depreciation calculations and assists with routine entries fixed asset reconciliation  assists in gathering documentation and preparing schedules for reconciliation asset disposal and retirement prepares paperwork and updates records for asset disposals or retirements reporting budgeting and analysis  collects and organizes fixed asset data for reporting and analysis compliance and audit support  gathers required documentation and assists during audit processes qualification educational background bachelors degree in accounting finance business administration or a related field basic accounting knowledge understanding of fundamental accounting principles financial reporting and fixed asset management prior internship or academic coursework in accounting is a plus analytical detail-oriented strong attention to detail with the ability to accurately process and verify financial data technical proficiency familiarity with accounting software e g sap oracle quickbooks and microsoft excel for data entry and reporting compliance awareness basic knowledge of regulatory requirements tax depreciation rules and audit processes related to fixed assets organizational collaboration skills ability to manage multiple tasks efficiently and work effectively with cross-functional teams finance operations audit problem-solving mindset willingness to learn identify discrepancies and contribute to process improvements in asset tracking and reporting,asli
